Gene,chr,start,end
Gene_75,chr01,415787,416171
Gene_76,chr01,417401,418666
Gene_77,chr01,419360,423269
Gene_78,chr01,423659,424416
Gene_79,chr01,427165,427849
Gene_80,chr01,428252,428779
Gene_81,chr01,430241,432085
Gene_82,chr01,434736,436587
Gene_83,chr01,437326,439442
Gene_84,chr01,444959,446292
Gene_85,chr01,447035,448048
Gene_86,chr01,448381,449309
Gene_87,chr01,450099,451366
Gene_88,chr01,451904,454186
Gene_89,chr01,458289,459252
Gene_90,chr01,461111,461380
Gene_91,chr01,463448,464094
Gene_92,chr01,466617,468351
Gene_93,chr01,469366,469690
Gene_94,chr01,480456,483489
Gene_95,chr01,508066,510896
Gene_96,chr01,511899,513408
Gene_97,chr01,513899,515802
Gene_98,chr01,516634,517159
Gene_99,chr01,518488,519883
Gene_100,chr01,520356,521090
Gene_101,chr01,539034,540570
Gene_102,chr01,541817,545122
Gene_103,chr01,545753,550949
Gene_104,chr01,610769,616334
Gene_105,chr01,616640,618083
Gene_106,chr01,618883,619833
Gene_107,chr01,624380,627815
Gene_108,chr01,628450,628999
Gene_109,chr01,629479,630550
Gene_110,chr01,634467,634539
Gene_111,chr01,634862,635557
Gene_112,chr01,636760,639442
Gene_113,chr01,640036,641231
Gene_114,chr01,641495,642437
Gene_115,chr01,720197,720840
Gene_116,chr01,721444,723242
Gene_117,chr01,725337,725794
Gene_118,chr01,726550,728128
Gene_119,chr01,728892,729518
Gene_120,chr01,732026,732318
Gene_121,chr01,732547,733490
Gene_122,chr01,733994,734367
Gene_123,chr01,734886,736166
Gene_124,chr01,736392,737818
Gene_125,chr01,751801,752879
Gene_126,chr01,754200,760558
Gene_127,chr01,761139,762372
Gene_128,chr01,765534,767394
Gene_129,chr01,781060,783073
Gene_130,chr01,784085,787139
Gene_131,chr01,787829,789519
Gene_132,chr01,790507,791129
Gene_133,chr01,792076,792889
Gene_134,chr01,794948,796687
Gene_135,chr01,797547,797982
Gene_136,chr01,798198,800838
Gene_137,chr01,810427,811088
Gene_138,chr01,814954,815575
Gene_139,chr01,817530,818663
Gene_140,chr01,819604,822554
Gene_141,chr01,823150,824488
Gene_142,chr01,826363,826862
Gene_143,chr01,827634,829861
Gene_144,chr01,830729,832434
Gene_145,chr01,833194,835025
Gene_146,chr01,841585,843109
Gene_147,chr01,847421,847852
Gene_148,chr01,854531,855670
Gene_149,chr01,856205,857801
Gene_150,chr01,858604,858955
Gene_151,chr01,859007,859357
Gene_152,chr01,859732,861605
Gene_153,chr01,862909,863653
Gene_154,chr01,865062,866807
Gene_155,chr01,867905,869005
Gene_156,chr01,870816,873377
Gene_157,chr01,874466,876020
Gene_158,chr01,877129,877607
Gene_159,chr01,878117,878639
Gene_160,chr01,879259,883749
Gene_161,chr01,884684,885476
Gene_162,chr01,886860,888039
Gene_163,chr01,889150,890417
Gene_164,chr01,892106,893894
Gene_165,chr01,896444,898615
Gene_166,chr01,899661,901637
Gene_167,chr01,902780,904798
Gene_168,chr01,905035,907175
Gene_169,chr01,909715,910361
Gene_170,chr01,912454,915137
Gene_171,chr01,916345,917961
Gene_172,chr01,919208,921977
Gene_173,chr01,922752,924768
Gene_174,chr01,925729,928762
Gene_175,chr01,929792,930143
Gene_176,chr01,932078,934284
Gene_177,chr01,934530,934947
Gene_178,chr01,935197,939786
Gene_179,chr01,940352,940886
Gene_180,chr01,985764,986994
Gene_181,chr01,987281,988499
Gene_182,chr01,989002,989872
Gene_183,chr01,990283,990870
Gene_184,chr01,991381,998161
Gene_185,chr01,998929,1001046
Gene_186,chr01,1001546,1002196
Gene_187,chr01,1002633,1004736
Gene_188,chr01,1005340,1007094
Gene_189,chr01,1008024,1011376
Gene_190,chr01,1011818,1013084
Gene_191,chr01,1017691,1021027
Gene_192,chr01,1021536,1022067
Gene_193,chr01,1022666,1024114
Gene_194,chr01,1025349,1031284
Gene_195,chr01,1031642,1035881
Gene_196,chr01,1036510,1037209
Gene_197,chr01,1040697,1042554
Gene_198,chr01,1044020,1045893
Gene_199,chr01,1047184,1047269
Gene_200,chr01,1047397,1047492
Gene_201,chr01,1048147,1050302
Gene_202,chr01,1050889,1051343
Gene_203,chr01,1052213,1053089
Gene_204,chr01,1055891,1056471
Gene_205,chr01,1100707,1103125
Gene_206,chr01,1103215,1104291
Gene_207,chr01,1104684,1108701
Gene_208,chr01,1110880,1112887
Gene_209,chr01,1114428,1115335
Gene_210,chr01,1116150,1117386
Gene_211,chr01,1117988,1123300
Gene_212,chr01,1125219,1126599
Gene_213,chr01,1127602,1131563
Gene_214,chr01,1134040,1135556
Gene_215,chr01,1136749,1138654
Gene_216,chr01,1139148,1140426
Gene_217,chr01,1142930,1145980
Gene_218,chr01,1147095,1148317
Gene_219,chr01,1148423,1149947
Gene_220,chr01,1150292,1152054
Gene_221,chr01,1152545,1154812
Gene_222,chr01,1156793,1159212
Gene_223,chr01,1164325,1165689
Gene_224,chr01,1166747,1168284
Gene_225,chr01,1170122,1171414
Gene_226,chr01,1172092,1173929
Gene_227,chr01,1175622,1177677
Gene_228,chr01,1179270,1180417
Gene_229,chr01,1181516,1182524
Gene_230,chr01,1182692,1184338
Gene_231,chr01,1184477,1185585
Gene_232,chr01,1186613,1191144
Gene_233,chr01,1191267,1192191
Gene_234,chr01,1192482,1193330
Gene_235,chr01,1193738,1195470
Gene_236,chr01,1195628,1198351
Gene_237,chr01,1198668,1199714
Gene_238,chr01,1200286,1201470
Gene_239,chr01,1202876,1204192
Gene_240,chr01,1206171,1207933
Gene_241,chr01,1208645,1210385
Gene_242,chr01,1213829,1214286
Gene_243,chr01,1214665,1215813
Gene_244,chr01,1217589,1218267
Gene_245,chr01,1218726,1220026
Gene_246,chr01,1220801,1222705
Gene_247,chr01,1223204,1224362
Gene_248,chr01,1225320,1226186
Gene_249,chr01,1226523,1227513
Gene_250,chr01,1227843,1229517
Gene_251,chr01,1230935,1233195
Gene_252,chr01,1234297,1238049
Gene_253,chr01,1239513,1241701
Gene_254,chr01,1242677,1244328
Gene_255,chr01,1245552,1247253
Gene_256,chr01,1247424,1249154
Gene_257,chr01,1249301,1251886
Gene_258,chr01,1252069,1256924
Gene_259,chr01,1258006,1258855
Gene_260,chr01,1260855,1263964
Gene_261,chr01,1264468,1268636
Gene_262,chr01,1318026,1319151
Gene_263,chr01,1322358,1323011
Gene_264,chr01,1325021,1326822
Gene_265,chr01,1332720,1334852
Gene_266,chr01,1335760,1337458
Gene_267,chr01,1338274,1340852
Gene_268,chr01,1342091,1344789
Gene_269,chr01,1345414,1346517
Gene_270,chr01,1346922,1348352
Gene_271,chr01,1352914,1353600
Gene_272,chr01,1355551,1355994
Gene_273,chr01,1356447,1361354
Gene_274,chr01,1363682,1365589
Gene_275,chr01,1400782,1402297
Gene_276,chr01,1402835,1406961
Gene_277,chr01,1407603,1408503
Gene_278,chr01,1409753,1412599
Gene_279,chr01,1414896,1417522
Gene_280,chr01,1418288,1418600
Gene_281,chr01,1418794,1422225
Gene_282,chr01,1422725,1426319
Gene_283,chr01,1427441,1429049
Gene_284,chr01,1429663,1432546
Gene_285,chr01,1432661,1434184
Gene_286,chr01,1434470,1436395
Gene_287,chr01,1438946,1441557
Gene_288,chr01,1444096,1447108
Gene_289,chr01,1448136,1449552
Gene_290,chr01,1451415,1452521
Gene_291,chr01,1452788,1456616
Gene_292,chr01,1457899,1458852
Gene_293,chr01,1459717,1460784
Gene_294,chr01,1462193,1463557
Gene_295,chr01,1464645,1467160
Gene_296,chr01,1467720,1469724
Gene_297,chr01,1470422,1473090
Gene_298,chr01,1473993,1476366
Gene_299,chr01,1476941,1479307
Gene_300,chr01,1479863,1481467
Gene_301,chr01,1482178,1490667
Gene_302,chr01,1491110,1491458
Gene_303,chr01,1491942,1494456
Gene_304,chr01,1495386,1497248
Gene_305,chr01,1497602,1498487
Gene_306,chr01,1500021,1500555
Gene_307,chr01,1501549,1503513
Gene_308,chr01,1504362,1504938
Gene_309,chr01,1506387,1510201
Gene_310,chr01,1510563,1512563
Gene_311,chr01,1513377,1516586
Gene_312,chr01,1517026,1518556
Gene_313,chr01,1520637,1523236
Gene_314,chr01,1523929,1525269
Gene_315,chr01,1525660,1527795
Gene_316,chr01,1529156,1529719
Gene_317,chr01,1532348,1535273
Gene_318,chr01,1535576,1537615
Gene_319,chr01,1538627,1538992
Gene_320,chr01,1539498,1542405
Gene_321,chr01,1543024,1544000
Gene_322,chr01,1544562,1545813
Gene_323,chr01,1546107,1547942
Gene_324,chr01,1550340,1552577
Gene_325,chr01,1554251,1556596
Gene_326,chr01,1557124,1559102
Gene_327,chr01,1559419,1559791
Gene_328,chr01,1560040,1560859
Gene_329,chr01,1561068,1561140
Gene_330,chr01,1561506,1562709
Gene_331,chr01,1566259,1566919
Gene_332,chr01,1567821,1569766
Gene_333,chr01,1575261,1577893
Gene_334,chr01,1580815,1583098
Gene_335,chr01,1583491,1583576
Gene_336,chr01,1584607,1586730
Gene_337,chr01,1587781,1589050
Gene_338,chr01,1592368,1594234
Gene_339,chr01,1595118,1597361
Gene_340,chr01,1597924,1599241
Gene_341,chr01,1599465,1602797
Gene_342,chr01,1602917,1604096
Gene_343,chr01,1604944,1606350
Gene_344,chr01,1607679,1609439
Gene_345,chr01,1617328,1618286
Gene_346,chr01,1631923,1633687
Gene_347,chr01,1634965,1636483
Gene_348,chr01,1637920,1639025
Gene_349,chr01,1686111,1687888
Gene_350,chr01,1774655,1774728
Gene_351,chr01,1809988,1811861
Gene_352,chr01,1818697,1819574
Gene_353,chr01,1820273,1821488
Gene_354,chr01,1823353,1824379
Gene_355,chr01,1825255,1826556
Gene_356,chr01,1827754,1828322
Gene_357,chr01,1829387,1830261
Gene_358,chr01,1830439,1834535
Gene_359,chr01,1834592,1838672
Gene_360,chr01,1841093,1844503
Gene_361,chr01,1844948,1848880
Gene_362,chr01,1849948,1851551
Gene_363,chr01,1851820,1853963
Gene_364,chr01,1854673,1858639
Gene_365,chr01,1859599,1861450
Gene_366,chr01,1863130,1864225
Gene_367,chr01,1891110,1892557
Gene_368,chr01,1893034,1895281
Gene_369,chr01,1897764,1899622
Gene_370,chr01,1901222,1902396
Gene_371,chr01,1905526,1910312
Gene_372,chr01,1911499,1914503
Gene_373,chr01,1917399,1919112
Gene_374,chr01,1919802,1921677
Gene_375,chr01,1922777,1923431
Gene_376,chr01,1923770,1924986
Gene_377,chr01,1925510,1926833
Gene_378,chr01,1928249,1932730
Gene_379,chr01,1938255,1940381
Gene_380,chr01,1941459,1941936
Gene_381,chr01,1943688,1946759
Gene_382,chr01,1949789,1951156
Gene_383,chr01,1954938,1955900
Gene_384,chr01,1956377,1957507
Gene_385,chr01,1957924,1958593
Gene_386,chr01,1959305,1961312
Gene_387,chr01,1961818,1963112
Gene_388,chr01,1964852,1966427
Gene_389,chr01,1966637,1968561
Gene_390,chr01,1969209,1972829
Gene_391,chr01,1973154,1973955
Gene_392,chr01,1981374,1981840
Gene_393,chr01,1989640,1991425
Gene_394,chr01,1992359,1992971
Gene_395,chr01,1993665,1998732
Gene_396,chr01,1999872,2003183
Gene_397,chr01,2003270,2004313
Gene_398,chr01,2004895,2006589
Gene_399,chr01,2007366,2008700
Gene_400,chr01,2010123,2012730
Gene_401,chr01,2013771,2015857
Gene_402,chr01,2056930,2059537
Gene_403,chr01,2059763,2060457
Gene_404,chr01,2061026,2062000
Gene_405,chr01,2063184,2064762
Gene_406,chr01,2065272,2067198
Gene_407,chr01,2067587,2069216
Gene_408,chr01,2070080,2071431
Gene_409,chr01,2072068,2073635
Gene_410,chr01,2074616,2076032
Gene_411,chr01,2076862,2077391
Gene_412,chr01,2078527,2079034
Gene_413,chr01,2079505,2080075
Gene_414,chr01,2081044,2082502
Gene_415,chr01,2083785,2085025
Gene_416,chr01,2085340,2086508
Gene_417,chr01,2086941,2089971
Gene_418,chr01,2090477,2091398
Gene_419,chr01,2092271,2093129
Gene_420,chr01,2095553,2098795
Gene_421,chr01,2099107,2100959
Gene_422,chr01,2101437,2102983
Gene_423,chr01,2103612,2105301
Gene_424,chr01,2105610,2106882
Gene_425,chr01,2107426,2109361
Gene_426,chr01,2109978,2111021
Gene_427,chr01,2112569,2116501
Gene_428,chr01,2117979,2118436
Gene_429,chr01,2118602,2119367
Gene_430,chr01,2120009,2121967
Gene_431,chr01,2122490,2123285
Gene_432,chr01,2124040,2124819
Gene_433,chr01,2125891,2127856
Gene_434,chr01,2130575,2136505
Gene_435,chr01,2137111,2139023
Gene_436,chr01,2152522,2154002
Gene_437,chr01,2154815,2156348
Gene_438,chr01,2157075,2158712
Gene_439,chr01,2159667,2163350
Gene_440,chr01,2164968,2168148
Gene_441,chr01,2169116,2173720
Gene_442,chr01,2174347,2178290
Gene_443,chr01,2178531,2179603
Gene_444,chr01,2181304,2184151
Gene_445,chr01,2185536,2187301
Gene_446,chr01,2188349,2190260
Gene_447,chr01,2191393,2192237
Gene_448,chr01,2192866,2193557
Gene_449,chr01,2194369,2194873
Gene_450,chr01,2195617,2196241
Gene_451,chr01,2199793,2201502
Gene_452,chr01,2201544,2202636
Gene_453,chr01,2203090,2204930
Gene_454,chr01,2205872,2206907
Gene_455,chr01,2207570,2208389
Gene_456,chr01,2209106,2210832
Gene_457,chr01,2211128,2213479
Gene_458,chr01,2214420,2216381
Gene_459,chr01,2219385,2220557
Gene_460,chr01,2221037,2221673
Gene_461,chr01,2222217,2224386
Gene_462,chr01,2224629,2231962
Gene_463,chr01,2232575,2234572
Gene_464,chr01,2236522,2238416
Gene_465,chr01,2239429,2241965
Gene_466,chr01,2266153,2267711
Gene_467,chr01,2275303,2276872
Gene_468,chr01,2278117,2279014
Gene_469,chr01,2279434,2280347
Gene_470,chr01,2281770,2285496
Gene_471,chr01,2287443,2290960
Gene_472,chr01,2296853,2298026
Gene_473,chr01,2298346,2298890
Gene_474,chr01,2299180,2303029
Gene_475,chr01,2304384,2304996
Gene_476,chr01,2306781,2307114
Gene_477,chr01,2313508,2314888
Gene_478,chr01,2315843,2317295
Gene_479,chr01,2317388,2318145
Gene_480,chr01,2318924,2319695
Gene_481,chr01,2321226,2322013
Gene_482,chr01,2322501,2323962
Gene_483,chr01,2324844,2325387
Gene_484,chr01,2327200,2328888
Gene_485,chr01,2330624,2333159
Gene_486,chr01,2335186,2337484
Gene_487,chr01,2340479,2341967
Gene_488,chr01,2345045,2346003
Gene_489,chr01,2347874,2349668
Gene_490,chr01,2351002,2352062
Gene_491,chr01,2354270,2355510
Gene_492,chr01,2356773,2360274
Gene_493,chr01,2361411,2365239
Gene_494,chr01,2367554,2369422
Gene_495,chr01,2371635,2372554
Gene_496,chr01,2373140,2374449
Gene_497,chr01,2376174,2376718
Gene_498,chr01,2378751,2381216
Gene_499,chr01,2389434,2391340
Gene_500,chr01,2393118,2393715
Gene_501,chr01,2394101,2395117
Gene_502,chr01,2395715,2396794
Gene_503,chr01,2396976,2399913
Gene_504,chr01,2405653,2407807
Gene_505,chr01,2408757,2410537
Gene_506,chr01,2411152,2412309
Gene_507,chr01,2412670,2415987
Gene_508,chr01,2416296,2417417
Gene_509,chr01,2418660,2419291
Gene_510,chr01,2420942,2423153
Gene_511,chr01,2423933,2426102
Gene_512,chr01,2429573,2431031
Gene_513,chr01,2431787,2433304
Gene_514,chr01,2434253,2436071
Gene_515,chr01,2437150,2439042
Gene_516,chr01,2439548,2440614
Gene_517,chr01,2441620,2444855
Gene_518,chr01,2445651,2446434
Gene_519,chr01,2447052,2448156
Gene_520,chr01,2449014,2450963
Gene_521,chr01,2451461,2453274
Gene_522,chr01,2454083,2455835
Gene_523,chr01,2456181,2456817
Gene_524,chr01,2460614,2464515
Gene_525,chr01,2465773,2468862
Gene_526,chr01,2472121,2475512
Gene_527,chr01,2476048,2478159
Gene_528,chr01,2478687,2480749
Gene_529,chr01,2483304,2486087
Gene_530,chr01,2486699,2490197
Gene_531,chr01,2490875,2491300
Gene_532,chr01,2498547,2500732
Gene_533,chr01,2502210,2503373
Gene_534,chr01,2509317,2512098
Gene_535,chr01,2513333,2516396
Gene_536,chr01,2516653,2518593
Gene_537,chr01,2519283,2521896
Gene_538,chr01,2522013,2525539
Gene_539,chr01,2525862,2527175
Gene_540,chr01,2528772,2529105
Gene_541,chr01,2529912,2531220
Gene_542,chr01,2531796,2532781
Gene_543,chr01,2541670,2542069
Gene_544,chr01,2543059,2544843
Gene_545,chr01,2545172,2546950
Gene_546,chr01,2547628,2549031
Gene_547,chr01,2551617,2553332
Gene_548,chr01,2554323,2556031
Gene_549,chr01,2557723,2560270
Gene_550,chr01,2561330,2562234
Gene_551,chr01,2565503,2568868
Gene_552,chr01,2570642,2571952
Gene_553,chr01,2573711,2575511
Gene_554,chr01,2576952,2578842
Gene_555,chr01,2586160,2587506
Gene_556,chr01,2588298,2591271
Gene_557,chr01,2592114,2592849
Gene_558,chr01,2593818,2594226
Gene_559,chr01,2595317,2598949
Gene_560,chr01,2601760,2603219
Gene_561,chr01,2604722,2605789
Gene_562,chr01,2607749,2609598
Gene_563,chr01,2612309,2613791
Gene_564,chr01,2614521,2616382
Gene_565,chr01,2616832,2620499
Gene_566,chr01,2620999,2623315
Gene_567,chr01,2624450,2625740
Gene_568,chr01,2627189,2629573
Gene_569,chr01,2635123,2639027
Gene_570,chr01,2640142,2642057
Gene_571,chr01,2642513,2644742
Gene_572,chr01,2645263,2648060
Gene_573,chr01,2648946,2650196
Gene_574,chr01,2650617,2655264
Gene_575,chr01,2655437,2657035
Gene_576,chr01,2658359,2658875
Gene_577,chr01,2660057,2661676
Gene_578,chr01,2662321,2663419
Gene_579,chr01,2663930,2664540
Gene_580,chr01,2664629,2665659
Gene_581,chr01,2666014,2668018
Gene_582,chr01,2725604,2726725
Gene_583,chr01,2728000,2729131
Gene_584,chr01,2729547,2731091
Gene_585,chr01,2731812,2734069
Gene_586,chr01,2734393,2735514
Gene_587,chr01,2736032,2737100
Gene_588,chr01,2739558,2740328
Gene_589,chr01,2744245,2746237
Gene_590,chr01,2748613,2751496
Gene_591,chr01,2751832,2752903
Gene_592,chr01,2753800,2756267
Gene_593,chr01,2756900,2757344
Gene_594,chr01,2757525,2759923
Gene_595,chr01,2761123,2762634
Gene_596,chr01,2763048,2764793
Gene_597,chr01,2765274,2765999
Gene_598,chr01,2767201,2771358
Gene_599,chr01,2774360,2776921
Gene_600,chr01,2777919,2779404
Gene_601,chr01,2780118,2780915
Gene_602,chr01,2781321,2782065
Gene_603,chr01,2782592,2783518
Gene_604,chr01,2784037,2785462
Gene_605,chr01,2786288,2787938
Gene_606,chr01,2788203,2788300
Gene_607,chr01,2789011,2790874
Gene_608,chr01,2796369,2797401
Gene_609,chr01,2799118,2803249
Gene_610,chr01,2803322,2804483
Gene_611,chr01,2810822,2811818
Gene_612,chr01,2812493,2812577
Gene_613,chr01,2813210,2814227
Gene_614,chr01,2814422,2817759
Gene_615,chr01,2818593,2820636
Gene_616,chr01,2821113,2823159
Gene_617,chr01,2823342,2824311
Gene_618,chr01,2825170,2827816
Gene_619,chr01,2828812,2829634
Gene_620,chr01,2839221,2839542
Gene_621,chr01,2843593,2843691
Gene_622,chr01,2844353,2846079
Gene_623,chr01,2846875,2848566
Gene_624,chr01,2850198,2851098
Gene_625,chr01,2852183,2855818
Gene_626,chr01,2856449,2858559
Gene_627,chr01,2860001,2860517
Gene_628,chr01,2870499,2871339
Gene_629,chr01,2877435,2881929
Gene_630,chr01,2882916,2884259
Gene_631,chr01,2885412,2888357
Gene_632,chr01,2892575,2895341
Gene_633,chr01,2896323,2897419
Gene_634,chr01,2899458,2905071
Gene_635,chr01,2915059,2915964
Gene_636,chr01,2919230,2920406
Gene_637,chr01,2925553,2927374
Gene_638,chr01,2929334,2930426
Gene_639,chr01,2930621,2931548
Gene_640,chr01,2931772,2933537
Gene_641,chr01,2936008,2938672
Gene_642,chr01,2945611,2948563
Gene_643,chr01,2949412,2949954
Gene_644,chr01,2950453,2951902
Gene_645,chr01,2952231,2953232
Gene_646,chr01,2954255,2956250
Gene_647,chr01,2957952,2960121
Gene_648,chr01,2961402,2961903
Gene_649,chr01,2963211,2963562
Gene_650,chr01,2964628,2966961
Gene_651,chr01,2967608,2969237
Gene_652,chr01,2970007,2972143
Gene_653,chr01,2981518,2982812
Gene_654,chr01,2983462,2985110
Gene_655,chr01,2987551,2988394
Gene_656,chr01,2989395,2994011
Gene_657,chr01,2994448,2995528
Gene_658,chr01,2996869,2999018
Gene_659,chr01,3001291,3003205
Gene_660,chr01,3003962,3006694
Gene_661,chr01,3008860,3009355
Gene_662,chr01,3009654,3011505
Gene_663,chr01,3012187,3014962
Gene_664,chr01,3015785,3016322
Gene_665,chr01,3018076,3019684
Gene_666,chr01,3020136,3020571
Gene_667,chr01,3021079,3022402
Gene_668,chr01,3022984,3024325
Gene_669,chr01,3060212,3061985
Gene_670,chr01,3065583,3066170
Gene_671,chr01,3066401,3067875
Gene_672,chr01,3069260,3071239
Gene_673,chr01,3074482,3080302
Gene_674,chr01,3112967,3114202
Gene_675,chr01,3114417,3115146
Gene_676,chr01,3116465,3121063
Gene_677,chr01,3123208,3124543
Gene_678,chr01,3125267,3125887
Gene_679,chr01,3126295,3127842
Gene_680,chr01,3128459,3129404
Gene_681,chr01,3130022,3131316
Gene_682,chr01,3131970,3133753
Gene_683,chr01,3134286,3135592
Gene_684,chr01,3136794,3138981
Gene_685,chr01,3141853,3144343
Gene_686,chr01,3144646,3145348
Gene_687,chr01,3147710,3150665
Gene_688,chr01,3151420,3154641
Gene_689,chr01,3155458,3156799
Gene_690,chr01,3157642,3159448
Gene_691,chr01,3161866,3162574
Gene_692,chr01,3162966,3164259
Gene_693,chr01,3165815,3167348
Gene_694,chr01,3167766,3169208
Gene_695,chr01,3169745,3170321
Gene_696,chr01,3170877,3171737
Gene_697,chr01,3172658,3173568
Gene_698,chr01,3173847,3175538
Gene_699,chr01,3176177,3177340
Gene_700,chr01,3177637,3178529
Gene_701,chr01,3178811,3180442
Gene_702,chr01,3181512,3182658
Gene_703,chr01,3184509,3185862
Gene_704,chr01,3188190,3189564
Gene_705,chr01,3189994,3191142
Gene_706,chr01,3192031,3194482
Gene_707,chr01,3195989,3197911
Gene_708,chr01,3198972,3200180
Gene_709,chr01,3201631,3202739
Gene_710,chr01,3203560,3204001
Gene_711,chr01,3204506,3205277
Gene_712,chr01,3205788,3208797
Gene_713,chr01,3211022,3213115
Gene_714,chr01,3213192,3214933
Gene_715,chr01,3215265,3217125
Gene_716,chr01,3223967,3226348
Gene_717,chr01,3228106,3230174
Gene_718,chr01,3230888,3232002
Gene_719,chr01,3232649,3233180
Gene_720,chr01,3233899,3234005
Gene_721,chr01,3234406,3235201
Gene_722,chr01,3238251,3239073
Gene_723,chr01,3239824,3241017
Gene_724,chr01,3241214,3242501
Gene_725,chr01,3243151,3245654
Gene_726,chr01,3245907,3245997
Gene_727,chr01,3246509,3250146
Gene_728,chr01,3251886,3253619
Gene_729,chr01,3254157,3254733
Gene_730,chr01,3255350,3256768
Gene_731,chr01,3257518,3259291
Gene_732,chr01,3259846,3261973
Gene_733,chr01,3264447,3267038
Gene_734,chr01,3267686,3268494
Gene_735,chr01,3268966,3269307
Gene_736,chr01,3269594,3270689
Gene_737,chr01,3271136,3272665
Gene_738,chr01,3320163,3321633
Gene_739,chr01,3446330,3447557
Gene_740,chr01,3448953,3452397
Gene_741,chr01,3452764,3454123
Gene_742,chr01,3481320,3482799
Gene_743,chr01,3484023,3485579
Gene_744,chr01,3487052,3487752
Gene_745,chr01,3488802,3489716
Gene_746,chr01,3490323,3491644
Gene_747,chr01,3492435,3493710
Gene_748,chr01,3494424,3497366
Gene_749,chr01,3498335,3499673
Gene_750,chr01,3506612,3507603
Gene_751,chr01,3509287,3511573
Gene_752,chr01,3512421,3513778
Gene_753,chr01,3514286,3516342
Gene_754,chr01,3517686,3519347
Gene_755,chr01,3525107,3526173
Gene_756,chr01,3527453,3530056
Gene_757,chr01,3530732,3531743
Gene_758,chr01,3532618,3533401
Gene_759,chr01,3533479,3534379
Gene_760,chr01,3535403,3535910
Gene_761,chr01,3536505,3537413
Gene_762,chr01,3538019,3538835
Gene_763,chr01,3539527,3540790
Gene_764,chr01,3541684,3542277
Gene_765,chr01,3542860,3544527
Gene_766,chr01,3545326,3546614
Gene_767,chr01,3547154,3549937
Gene_768,chr01,3550285,3551583
Gene_769,chr01,3552410,3555681
Gene_770,chr01,3556204,3556759
Gene_771,chr01,3557514,3559056
Gene_772,chr01,3559724,3561382
Gene_773,chr01,3562670,3564032
Gene_774,chr01,3568162,3569737
Gene_775,chr01,3570632,3572084
Gene_776,chr01,3572969,3574555
Gene_777,chr01,3576024,3577255
Gene_778,chr01,3577700,3578916
Gene_779,chr01,3580993,3583086
Gene_780,chr01,3583430,3584680
Gene_781,chr01,3585489,3586001
Gene_782,chr01,3587458,3588912
Gene_783,chr01,3591384,3595287
Gene_784,chr01,3604641,3606406
Gene_785,chr01,3607154,3608360
Gene_786,chr01,3608955,3610426
Gene_787,chr01,3610936,3612886
Gene_788,chr01,3615839,3618125
Gene_789,chr01,3619975,3622510
Gene_790,chr01,3622971,3624662
Gene_791,chr01,3624736,3626372
Gene_792,chr01,3626693,3628575
Gene_793,chr01,3629239,3631096
Gene_794,chr01,3631485,3639048
Gene_795,chr01,3639725,3640526
Gene_796,chr01,3641151,3642563
Gene_797,chr01,3644138,3645106
