Gene,chr,start,end
Gene_287,chr1,1452789,1456616
Gene_288,chr1,1457900,1458852
Gene_289,chr1,1459718,1460784
Gene_290,chr1,1462194,1463557
Gene_291,chr1,1464646,1467160
Gene_292,chr1,1467721,1469724
Gene_293,chr1,1470423,1473090
Gene_294,chr1,1473994,1476366
Gene_295,chr1,1476942,1479307
Gene_296,chr1,1479864,1481467
Gene_297,chr1,1482179,1490667
Gene_298,chr1,1491111,1491458
Gene_299,chr1,1491943,1494456
Gene_300,chr1,1495387,1497248
Gene_301,chr1,1497603,1498487
Gene_302,chr1,1500022,1500555
Gene_303,chr1,1501550,1503513
Gene_304,chr1,1504363,1504938
Gene_305,chr1,1506388,1510201
Gene_306,chr1,1510564,1512563
Gene_307,chr1,1513378,1516586
Gene_308,chr1,1517027,1518556
Gene_309,chr1,1520638,1523236
Gene_310,chr1,1523930,1525269
Gene_311,chr1,1525661,1527795
Gene_312,chr1,1529157,1529719
Gene_313,chr1,1532349,1535273
Gene_314,chr1,1535577,1537615
Gene_315,chr1,1538628,1538992
Gene_316,chr1,1539499,1542405
Gene_317,chr1,1543025,1544000
Gene_318,chr1,1544563,1545813
Gene_319,chr1,1546108,1547942
Gene_320,chr1,1550341,1552577
Gene_321,chr1,1554252,1556596
Gene_322,chr1,1557125,1559102
Gene_323,chr1,1559420,1559791
Gene_324,chr1,1560041,1560859
Gene_325,chr1,1561507,1562709
Gene_326,chr1,1566260,1566919
Gene_327,chr1,1567822,1569766
Gene_328,chr1,1575262,1577893
Gene_329,chr1,1580816,1583098
Gene_330,chr1,1584608,1586730
Gene_331,chr1,1587782,1589050
Gene_332,chr1,1592369,1594234
Gene_333,chr1,1595119,1597361
Gene_334,chr1,1597925,1599241
Gene_335,chr1,1599466,1602797
Gene_336,chr1,1602918,1604096
Gene_337,chr1,1604945,1606350
Gene_338,chr1,1607680,1609439
Gene_339,chr1,1617329,1618286
Gene_340,chr1,1631924,1633687
Gene_341,chr1,1634966,1636483
Gene_342,chr1,1637921,1639025
Gene_343,chr1,1686112,1687888
Gene_344,chr1,1809989,1811861
Gene_345,chr1,1818698,1819574
Gene_346,chr1,1820274,1821488
Gene_347,chr1,1823354,1824379
Gene_348,chr1,1825256,1826556
Gene_349,chr1,1827755,1828322
Gene_350,chr1,1829388,1830261
Gene_351,chr1,1830440,1834535
Gene_352,chr1,1834593,1838672
Gene_353,chr1,1841094,1844503
Gene_354,chr1,1844949,1848880
Gene_355,chr1,1849949,1851551
Gene_356,chr1,1851821,1853963
Gene_357,chr1,1854674,1858639
Gene_358,chr1,1859600,1861450
Gene_359,chr1,1863131,1864225
Gene_360,chr1,1891111,1892557
Gene_361,chr1,1893035,1895281
Gene_362,chr1,1897765,1899622
Gene_363,chr1,1901223,1902396
Gene_364,chr1,1905527,1910312
Gene_365,chr1,1911500,1914503
Gene_366,chr1,1917400,1919112
Gene_367,chr1,1919803,1921677
Gene_368,chr1,1922778,1923431
Gene_369,chr1,1923771,1924986
Gene_370,chr1,1925511,1926833
Gene_371,chr1,1928250,1932730
Gene_372,chr1,1938256,1940381
Gene_373,chr1,1941460,1941936
Gene_374,chr1,1943689,1946759
Gene_375,chr1,1949790,1951156
Gene_376,chr1,1954939,1955900
Gene_377,chr1,1956378,1957507
Gene_378,chr1,1957925,1958593
Gene_379,chr1,1959306,1961312
Gene_380,chr1,1961819,1963112
Gene_381,chr1,1964853,1966427
Gene_382,chr1,1966638,1968561
Gene_383,chr1,1969210,1972829
Gene_384,chr1,1973155,1973955
Gene_385,chr1,1981375,1981840
Gene_386,chr1,1989641,1991425
Gene_387,chr1,1992360,1992971
Gene_388,chr1,1993666,1998732
Gene_389,chr1,1999873,2003183
Gene_390,chr1,2003271,2004313
Gene_391,chr1,2004896,2006589
Gene_392,chr1,2007367,2008700
Gene_393,chr1,2010124,2012730
Gene_394,chr1,2013772,2015857
Gene_395,chr1,2056931,2059537
Gene_396,chr1,2059764,2060457
Gene_397,chr1,2061027,2062000
Gene_398,chr1,2063185,2064762
Gene_399,chr1,2065273,2067198
Gene_400,chr1,2067588,2069216
Gene_401,chr1,2070081,2071431
Gene_402,chr1,2072069,2073635
Gene_403,chr1,2074617,2076032
Gene_404,chr1,2076863,2077391
Gene_405,chr1,2078528,2079034
Gene_406,chr1,2079506,2080075
Gene_407,chr1,2081045,2082502
Gene_408,chr1,2083786,2085025
Gene_409,chr1,2085341,2086508
Gene_410,chr1,2086942,2089971
Gene_411,chr1,2090478,2091398
Gene_412,chr1,2092272,2093129
Gene_413,chr1,2095554,2098795
Gene_414,chr1,2099108,2100959
Gene_415,chr1,2101438,2102983
Gene_416,chr1,2103613,2105301
Gene_417,chr1,2105611,2106882
Gene_418,chr1,2107427,2109361
Gene_419,chr1,2109979,2111021
Gene_420,chr1,2112570,2116501
Gene_421,chr1,2117980,2118436
Gene_422,chr1,2118603,2119367
Gene_423,chr1,2120010,2121967
Gene_424,chr1,2122491,2123285
Gene_425,chr1,2124041,2124819
Gene_426,chr1,2125892,2127856
Gene_427,chr1,2130576,2136505
Gene_428,chr1,2137112,2139023
Gene_429,chr1,2152523,2154002
Gene_430,chr1,2154816,2156348
Gene_431,chr1,2157076,2158712
Gene_432,chr1,2159668,2163350
Gene_433,chr1,2164969,2168148
Gene_434,chr1,2169117,2173720
Gene_435,chr1,2174348,2178290
Gene_436,chr1,2178532,2179603
Gene_437,chr1,2181305,2184151
Gene_438,chr1,2185537,2187301
Gene_439,chr1,2188350,2190260
Gene_440,chr1,2191394,2192237
Gene_441,chr1,2192867,2193557
Gene_442,chr1,2194370,2194873
Gene_443,chr1,2195618,2196241
Gene_444,chr1,2199794,2201502
Gene_445,chr1,2201545,2202636
Gene_446,chr1,2203091,2204930
Gene_447,chr1,2205873,2206907
Gene_448,chr1,2207571,2208389
Gene_449,chr1,2209107,2210832
Gene_450,chr1,2211129,2213479
Gene_451,chr1,2214421,2216381
Gene_452,chr1,2219386,2220557
Gene_453,chr1,2221038,2221673
Gene_454,chr1,2222218,2224386
Gene_455,chr1,2224630,2231962
Gene_456,chr1,2232576,2234572
Gene_457,chr1,2236523,2238416
Gene_458,chr1,2239430,2241965
Gene_459,chr1,2266154,2267711
Gene_460,chr1,2275304,2276872
Gene_461,chr1,2278118,2279014
Gene_462,chr1,2279435,2280347
Gene_463,chr1,2281771,2285496
Gene_464,chr1,2287444,2290960
Gene_465,chr1,2296854,2298026
Gene_466,chr1,2298347,2298890
Gene_467,chr1,2299181,2303029
Gene_468,chr1,2304385,2304996
Gene_469,chr1,2306782,2307114
Gene_470,chr1,2313509,2314888
Gene_471,chr1,2315844,2317295
Gene_472,chr1,2317389,2318145
Gene_473,chr1,2318925,2319695
Gene_474,chr1,2321227,2322013
Gene_475,chr1,2322502,2323962
Gene_476,chr1,2324845,2325387
Gene_477,chr1,2327201,2328888
Gene_478,chr1,2330625,2333159
Gene_479,chr1,2335187,2337484
Gene_480,chr1,2340480,2341967
Gene_481,chr1,2345046,2346003
Gene_482,chr1,2347875,2349668
Gene_483,chr1,2351003,2352062
Gene_484,chr1,2354271,2355510
Gene_485,chr1,2356774,2360274
Gene_486,chr1,2361412,2365239
Gene_487,chr1,2367555,2369422
Gene_488,chr1,2371636,2372554
Gene_489,chr1,2373141,2374449
Gene_490,chr1,2376175,2376718
Gene_491,chr1,2378752,2381216
Gene_492,chr1,2389435,2391340
Gene_493,chr1,2393119,2393715
Gene_494,chr1,2394102,2395117
Gene_495,chr1,2395716,2396794
Gene_496,chr1,2396977,2399913
Gene_497,chr1,2405654,2407807
Gene_498,chr1,2408758,2410537
Gene_499,chr1,2411153,2412309
Gene_500,chr1,2412671,2415987
Gene_501,chr1,2416297,2417417
Gene_502,chr1,2418661,2419291
Gene_503,chr1,2420943,2423153
Gene_504,chr1,2423934,2426102
Gene_505,chr1,2429574,2431031
Gene_506,chr1,2431788,2433304
Gene_507,chr1,2434254,2436071
Gene_508,chr1,2437151,2439042
Gene_509,chr1,2439549,2440614
Gene_510,chr1,2441621,2444855
Gene_511,chr1,2445652,2446434
Gene_512,chr1,2447053,2448156
Gene_513,chr1,2449015,2450963
Gene_514,chr1,2451462,2453274
Gene_515,chr1,2454084,2455835
Gene_516,chr1,2456182,2456817
Gene_517,chr1,2460615,2464515
Gene_518,chr1,2465774,2468862
Gene_519,chr1,2472122,2475512
Gene_520,chr1,2476049,2478159
Gene_521,chr1,2478688,2480749
Gene_522,chr1,2483305,2486087
Gene_523,chr1,2486700,2490197
Gene_524,chr1,2490876,2491300
Gene_525,chr1,2498548,2500732
Gene_526,chr1,2502211,2503373
Gene_527,chr1,2509318,2512098
Gene_528,chr1,2513334,2516396
Gene_529,chr1,2516654,2518593
Gene_530,chr1,2519284,2521896
Gene_531,chr1,2522014,2525539
Gene_532,chr1,2525863,2527175
Gene_533,chr1,2528773,2529105
Gene_534,chr1,2529913,2531220
Gene_535,chr1,2531797,2532781
Gene_536,chr1,2541671,2542069
Gene_537,chr1,2543060,2544843
Gene_538,chr1,2545173,2546950
Gene_539,chr1,2547629,2549031
Gene_540,chr1,2551618,2553332
Gene_541,chr1,2554324,2556031
Gene_542,chr1,2557724,2560270
Gene_543,chr1,2561331,2562234
Gene_544,chr1,2565504,2568868
Gene_545,chr1,2570643,2571952
Gene_546,chr1,2573712,2575511
Gene_547,chr1,2576953,2578842
Gene_548,chr1,2586161,2587506
Gene_549,chr1,2588299,2591271
Gene_550,chr1,2592115,2592849
Gene_551,chr1,2593819,2594226
Gene_552,chr1,2595318,2598949
Gene_553,chr1,2601761,2603219
Gene_554,chr1,2604723,2605789
Gene_555,chr1,2607750,2609598
Gene_556,chr1,2612310,2613791
Gene_557,chr1,2614522,2616382
Gene_558,chr1,2616833,2620499
Gene_559,chr1,2621000,2623315
Gene_560,chr1,2624451,2625740
Gene_561,chr1,2627190,2629573
Gene_562,chr1,2635124,2639027
Gene_563,chr1,2640143,2642057
Gene_564,chr1,2642514,2644742
Gene_565,chr1,2645264,2648060
Gene_566,chr1,2648947,2650196
Gene_567,chr1,2650618,2655264
Gene_568,chr1,2655438,2657035
Gene_569,chr1,2658360,2658875
Gene_570,chr1,2660058,2661676
Gene_571,chr1,2662322,2663419
Gene_572,chr1,2663931,2664540
Gene_573,chr1,2664630,2665659
Gene_574,chr1,2666015,2668018
Gene_575,chr1,2725605,2726725
Gene_576,chr1,2728001,2729131
Gene_577,chr1,2729548,2731091
Gene_578,chr1,2731813,2734069
Gene_579,chr1,2734394,2735514
Gene_580,chr1,2736033,2737100
Gene_581,chr1,2739559,2740328
Gene_582,chr1,2744246,2746237
Gene_583,chr1,2748614,2751496
Gene_584,chr1,2751833,2752903
Gene_585,chr1,2753801,2756267
Gene_586,chr1,2756901,2757344
Gene_587,chr1,2757526,2759923
Gene_588,chr1,2761124,2762634
Gene_589,chr1,2763049,2764793
Gene_590,chr1,2765275,2765999
Gene_591,chr1,2767202,2771358
Gene_592,chr1,2774361,2776921
Gene_593,chr1,2777920,2779404
Gene_594,chr1,2780119,2780915
Gene_595,chr1,2781322,2782065
Gene_596,chr1,2782593,2783518
Gene_597,chr1,2784038,2785462
Gene_598,chr1,2786289,2787938
Gene_599,chr1,2789012,2790874
Gene_600,chr1,2796370,2797401
Gene_601,chr1,2799119,2803249
Gene_602,chr1,2803323,2804483
Gene_603,chr1,2810823,2811818
Gene_604,chr1,2813211,2814227
Gene_605,chr1,2814423,2817759
Gene_606,chr1,2818594,2820636
Gene_607,chr1,2821114,2823159
Gene_608,chr1,2823343,2824311
Gene_609,chr1,2825171,2827816
Gene_610,chr1,2828813,2829634
Gene_611,chr1,2839222,2839542
Gene_612,chr1,2844354,2846079
Gene_613,chr1,2846876,2848566
Gene_614,chr1,2850199,2851098
Gene_615,chr1,2852184,2855818
Gene_616,chr1,2856450,2858559
Gene_617,chr1,2860002,2860517
Gene_618,chr1,2870500,2871339
Gene_619,chr1,2877436,2881929
Gene_620,chr1,2882917,2884259
Gene_621,chr1,2885413,2888357
Gene_622,chr1,2892576,2895341
Gene_623,chr1,2896324,2897419
Gene_624,chr1,2899459,2905071
Gene_625,chr1,2915060,2915964
Gene_626,chr1,2919231,2920406
Gene_627,chr1,2925554,2927374
Gene_628,chr1,2929335,2930426
Gene_629,chr1,2930622,2931548
Gene_630,chr1,2931773,2933537
Gene_631,chr1,2936009,2938672
Gene_632,chr1,2945612,2948563
Gene_633,chr1,2949413,2949954
Gene_634,chr1,2950454,2951902
Gene_635,chr1,2952232,2953232
Gene_636,chr1,2954256,2956250
Gene_637,chr1,2957953,2960121
Gene_638,chr1,2961403,2961903
Gene_639,chr1,2963212,2963562
Gene_640,chr1,2964629,2966961
Gene_641,chr1,2967609,2969237
Gene_642,chr1,2970008,2972143
Gene_643,chr1,2981519,2982812
Gene_644,chr1,2983463,2985110
Gene_645,chr1,2987552,2988394
Gene_646,chr1,2989396,2994011
Gene_647,chr1,2994449,2995528
Gene_648,chr1,2996870,2999018
Gene_649,chr1,3001292,3003205
Gene_650,chr1,3003963,3006694
Gene_651,chr1,3008861,3009355
Gene_652,chr1,3009655,3011505
Gene_653,chr1,3012188,3014962
Gene_654,chr1,3015786,3016322
Gene_655,chr1,3018077,3019684
Gene_656,chr1,3020137,3020571
Gene_657,chr1,3021080,3022402
Gene_658,chr1,3022985,3024325
Gene_659,chr1,3060213,3061985
Gene_660,chr1,3065584,3066170
Gene_661,chr1,3066402,3067875
Gene_662,chr1,3069261,3071239
Gene_663,chr1,3074483,3080302
Gene_664,chr1,3112968,3114202
Gene_665,chr1,3114418,3115146
Gene_666,chr1,3116466,3121063
Gene_667,chr1,3123209,3124543
Gene_668,chr1,3125268,3125887
Gene_669,chr1,3126296,3127842
Gene_670,chr1,3128460,3129404
Gene_671,chr1,3130023,3131316
Gene_672,chr1,3131971,3133753
Gene_673,chr1,3134287,3135592
Gene_674,chr1,3136795,3138981
Gene_675,chr1,3141854,3144343
Gene_676,chr1,3144647,3145348
Gene_677,chr1,3147711,3150665
Gene_678,chr1,3151421,3154641
Gene_679,chr1,3155459,3156799
Gene_680,chr1,3157643,3159448
Gene_681,chr1,3161867,3162574
Gene_682,chr1,3162967,3164259
Gene_683,chr1,3165816,3167348
Gene_684,chr1,3167767,3169208
Gene_685,chr1,3169746,3170321
Gene_686,chr1,3170878,3171737
Gene_687,chr1,3172659,3173568
Gene_688,chr1,3173848,3175538
Gene_689,chr1,3176178,3177340
Gene_690,chr1,3177638,3178529
Gene_691,chr1,3178812,3180442
Gene_692,chr1,3181513,3182658
Gene_693,chr1,3184510,3185862
Gene_694,chr1,3188191,3189564
Gene_695,chr1,3189995,3191142
Gene_696,chr1,3192032,3194482
Gene_697,chr1,3195990,3197911
Gene_698,chr1,3198973,3200180
Gene_699,chr1,3201632,3202739
Gene_700,chr1,3203561,3204001
Gene_701,chr1,3204507,3205277
Gene_702,chr1,3205789,3208797
Gene_703,chr1,3211023,3213115
Gene_704,chr1,3213193,3214933
Gene_705,chr1,3215266,3217125
Gene_706,chr1,3223968,3226348
Gene_707,chr1,3228107,3230174
Gene_708,chr1,3230889,3232002
Gene_709,chr1,3232650,3233180
Gene_710,chr1,3234407,3235201
Gene_711,chr1,3238252,3239073
Gene_712,chr1,3239825,3241017
Gene_713,chr1,3241215,3242501
Gene_714,chr1,3243152,3245654
Gene_715,chr1,3246510,3250146
Gene_716,chr1,3251887,3253619
Gene_717,chr1,3254158,3254733
Gene_718,chr1,3255351,3256768
Gene_719,chr1,3257519,3259291
Gene_720,chr1,3259847,3261973
Gene_721,chr1,3264448,3267038
Gene_722,chr1,3267687,3268494
Gene_723,chr1,3268967,3269307
Gene_724,chr1,3269595,3270689
Gene_725,chr1,3271137,3272665
Gene_726,chr1,3320164,3321633
Gene_727,chr1,3446331,3447557
Gene_728,chr1,3448954,3452397
Gene_729,chr1,3452765,3454123
Gene_730,chr1,3481321,3482799
Gene_731,chr1,3484024,3485579
Gene_732,chr1,3487053,3487752
Gene_733,chr1,3488803,3489716
Gene_734,chr1,3490324,3491644
Gene_735,chr1,3492436,3493710
Gene_736,chr1,3494425,3497366
Gene_737,chr1,3498336,3499673
Gene_738,chr1,3506613,3507603
Gene_739,chr1,3509288,3511573
Gene_740,chr1,3512422,3513778
Gene_741,chr1,3514287,3516342
Gene_742,chr1,3517687,3519347
Gene_743,chr1,3525108,3526173
Gene_744,chr1,3527454,3530056
Gene_745,chr1,3530733,3531743
Gene_746,chr1,3532619,3533401
Gene_747,chr1,3533480,3534379
Gene_748,chr1,3535404,3535910
Gene_749,chr1,3536506,3537413
Gene_750,chr1,3538020,3538835
Gene_751,chr1,3539528,3540790
Gene_752,chr1,3541685,3542277
Gene_753,chr1,3542861,3544527
Gene_754,chr1,3545327,3546614
Gene_755,chr1,3547155,3549937
Gene_756,chr1,3550286,3551583
Gene_757,chr1,3552411,3555681
Gene_758,chr1,3556205,3556759
Gene_759,chr1,3557515,3559056
Gene_760,chr1,3559725,3561382
Gene_761,chr1,3562671,3564032
Gene_762,chr1,3568163,3569737
Gene_763,chr1,3570633,3572084
Gene_764,chr1,3572970,3574555
Gene_765,chr1,3576025,3577255
Gene_766,chr1,3577701,3578916
Gene_767,chr1,3580994,3583086
Gene_768,chr1,3583431,3584680
Gene_769,chr1,3585490,3586001
Gene_770,chr1,3587459,3588912
Gene_771,chr1,3591385,3595287
Gene_772,chr1,3604642,3606406
Gene_773,chr1,3607155,3608360
Gene_774,chr1,3608956,3610426
Gene_775,chr1,3610937,3612886
Gene_776,chr1,3615840,3618125
Gene_777,chr1,3619976,3622510
Gene_778,chr1,3622972,3624662
Gene_779,chr1,3624737,3626372
Gene_780,chr1,3626694,3628575
Gene_781,chr1,3629240,3631096
Gene_782,chr1,3631486,3639048
Gene_783,chr1,3639726,3640526
Gene_784,chr1,3641152,3642563
Gene_785,chr1,3644139,3645106
Gene_786,chr1,3645475,3646804
Gene_787,chr1,3647131,3648906
Gene_788,chr1,3651227,3651720
Gene_789,chr1,3652690,3653721
Gene_790,chr1,3655703,3656328
Gene_791,chr1,3676528,3677128
Gene_792,chr1,3677175,3679525
Gene_793,chr1,3680223,3681594
Gene_794,chr1,3681713,3682192
Gene_795,chr1,3682979,3685255
Gene_796,chr1,3686234,3687918
